car_id,user_id,make,model,year,license_plate,battery_capacity_kwh,efficiency_kwh_per_km,current_battery_percentage,car_type,vin,color,created_at
car_001,user_002,Rivian,R1S,2021,ECO1744,135,0.226,92,suv,VIN2021360,Gray,2025-12-06T20:14:35.899627
car_002,user_003,BMW,i7,2023,ABC7203,105,0.224,43,sedan,VIN6137802,Silver,2025-12-06T20:14:35.899627
car_003,user_004,Volkswagen,ID. Buzz,2023,ECO1087,82,0.177,71,truck,VIN6593395,Gray,2025-12-06T20:14:35.899627
car_004,user_005,Hyundai,Ioniq 5,2023,ABC8719,77,0.17,60,sedan,VIN8869587,Red,2025-12-06T20:14:35.899627
car_005,user_006,BMW,i4,2021,ABC4082,70,0.217,82,suv,VIN5307514,Silver,2025-12-06T20:14:35.899627
car_006,user_007,BMW,i7,2024,XYZ2036,105,0.206,72,suv,VIN5434626,Gray,2025-12-06T20:14:35.899627
car_007,user_008,Rivian,R1S,2023,EVS1274,105,0.256,67,sedan,VIN8267433,White,2025-12-06T20:14:35.899627
car_008,user_009,Volkswagen,ID. Buzz,2023,XYZ2832,82,0.199,41,hatchback,VIN8254427,White,2025-12-06T20:14:35.899627
car_009,user_010,Ford,Mustang Mach-E,2023,ABC6296,68,0.215,59,suv,VIN6097655,Silver,2025-12-06T20:14:35.899627
car_010,user_011,Volkswagen,ID. Buzz,2020,ECO1556,82,0.176,87,hatchback,VIN9924965,Blue,2025-12-06T20:14:35.899627
car_011,user_012,Volkswagen,ID.4,2020,XYZ7229,82,0.173,25,sedan,VIN2057675,Blue,2025-12-06T20:14:35.899627
car_012,user_013,Rivian,R1T,2021,ECO6944,135,0.259,74,truck,VIN4704855,Gray,2025-12-06T20:14:35.899627
car_013,user_014,Nissan,Ariya,2022,XYZ2630,62,0.184,81,truck,VIN3594303,White,2025-12-06T20:14:35.899627
car_014,user_015,Ford,F-150 Lightning,2024,ECO6035,131,0.181,52,truck,VIN1619168,White,2025-12-06T20:14:35.899627
car_015,user_016,Volkswagen,ID.4,2023,XYZ5235,62,0.192,73,sedan,VIN2116548,Red,2025-12-06T20:14:35.899627
car_016,user_017,Nissan,Leaf,2021,ECO4068,40,0.174,97,sedan,VIN9691786,Blue,2025-12-06T20:14:35.899627
car_017,user_018,Rivian,R1S,2024,ECO6392,105,0.224,98,hatchback,VIN1851380,Black,2025-12-06T20:14:35.899627
car_018,user_019,Ford,F-150 Lightning,2023,ECO2170,131,0.201,28,truck,VIN6804121,Blue,2025-12-06T20:14:35.899627
car_019,user_020,Ford,F-150 Lightning,2023,ECO6636,68,0.189,28,suv,VIN4479132,Blue,2025-12-06T20:14:35.899627
