station_id,name,address,city,state,zip_code,latitude,longitude,charger_type,operator,available_chargers,total_chargers,power_kw,cost_per_kwh,is_24_7,amenities,rating,created_at
STA1001,Tesla New York #1,3053 Pine St,New York,NY,54438,40.656776,-73.953885,DC Fast,Tesla,6,7,250,0.44,False,"[""Restrooms""]",3.5,2025-12-06T20:14:35.901863
STA1002,Blink New York #2,7455 Oak St,New York,NY,63807,40.731054,-73.94981,CHAdeMO,Blink,1,2,11,0.31,True,"[""Restaurant"", ""Waiting Area""]",3.6,2025-12-06T20:14:35.901863
STA1003,Tesla New York #3,8584 Pine St,New York,NY,90243,40.691417,-73.928529,Level 2,Tesla,2,3,11,0.3,True,"[""Shopping"", ""Coffee""]",4.3,2025-12-06T20:14:35.902394
STA1004,Tesla New York #4,4474 Cedar St,New York,NY,23749,40.723571,-73.927781,Tesla Supercharger,Tesla,1,9,150,0.44,False,"[""Coffee"", ""Restrooms"", ""Shopping"", ""Waiting Area""]",5.0,2025-12-06T20:14:35.902394
STA1005,Volta New York #5,9093 Main St,New York,NY,57741,40.800759,-73.989251,Level 2,Volta,2,2,11,0.22,False,"[""Shopping"", ""Waiting Area"", ""Restaurant""]",4.9,2025-12-06T20:14:35.902394
STA1006,EVgo Los Angeles #1,1517 Cedar St,Los Angeles,CA,83058,34.014963,-118.319646,DC Fast,EVgo,1,10,150,0.42,False,"[""Coffee"", ""Waiting Area""]",3.5,2025-12-06T20:14:35.902394
STA1007,Volta Los Angeles #2,2554 Oak St,Los Angeles,CA,60242,33.959784,-118.332714,Tesla Supercharger,Volta,5,5,150,0.36,False,"[""Restrooms""]",4.4,2025-12-06T20:14:35.902394
STA1008,ChargePoint Los Angeles #3,6375 Pine St,Los Angeles,CA,82464,33.988965,-118.260901,DC Fast,ChargePoint,5,6,350,0.42,True,"[""WiFi"", ""Shopping"", ""Waiting Area"", ""Restrooms""]",4.0,2025-12-06T20:14:35.902394
STA1009,ChargePoint Los Angeles #4,1825 Cedar St,Los Angeles,CA,26843,34.013626,-118.256951,Tesla Supercharger,ChargePoint,9,11,350,0.39,False,"[""WiFi"", ""Coffee"", ""Waiting Area""]",3.9,2025-12-06T20:14:35.902394
STA1010,Volta Los Angeles #5,8386 Pine St,Los Angeles,CA,63637,33.98426,-118.312876,CHAdeMO,Volta,0,6,7.2,0.2,False,"[""Coffee""]",4.6,2025-12-06T20:14:35.902394
