trip_id,user_id,car_id,start_latitude,start_longitude,end_latitude,end_longitude,start_address,end_address,distance_km,estimated_energy_kwh,actual_energy_kwh,duration_minutes,start_time,end_time,charging_stops,total_charging_time_minutes,cost_usd,weather,notes
trip_0001,user_002,car_002,34.091997,-118.19412,32.734829,-117.201589,"128 Main St, Los Angeles","123 Maple Ave, San Diego",191.14,42.3,32.01,143,2025-11-18T20:14:35.905721,2025-11-16T19:14:35.905721,1,23,17.83,Rainy,Traffic delays
trip_0002,user_003,car_003,41.912438,-87.660349,39.738394,-86.18056,"644 Oak St, Chicago","911 Maple Ave, Indianapolis",317.65,72.81,76.72,238,2025-11-25T20:14:35.905721,2025-11-10T15:14:35.905721,1,22,24.01,Cloudy,Traffic delays
trip_0003,user_004,car_004,39.935841,-75.154552,38.909568,-77.025458,"348 Oak St, Philadelphia","582 Maple Ave, Washington DC",221.68,40.13,46.43,166,2025-11-19T20:14:35.905721,2025-12-03T16:14:35.905721,1,29,12.38,Rainy,Smooth trip
trip_0004,user_005,car_005,39.755249,-104.942604,38.792331,-104.840548,"714 Main St, Denver","593 Pine Ave, Colorado Springs",106.22,25.93,16.85,80,2025-12-05T20:14:35.905721,2025-11-27T16:14:35.905721,2,59,15.04,Windy,Smooth trip
trip_0005,user_006,car_006,34.082868,-118.291844,32.72882,-117.143648,"766 Main St, Los Angeles","498 Pine Ave, San Diego",178.88,41.79,28.38,134,2025-11-25T20:14:35.905721,2025-11-19T15:14:35.905721,2,6,24.41,Rainy,
trip_0006,user_007,car_007,39.92902,-75.189226,38.893232,-77.026777,"334 Oak St, Philadelphia","893 Maple Ave, Washington DC",208.13,36.93,41.72,156,2025-12-03T20:14:35.905721,2025-11-06T19:14:35.905721,0,16,22.12,Rainy,Charged at station
trip_0007,user_008,car_008,34.091806,-118.22764,32.687061,-117.168563,"774 Main St, Los Angeles","443 Pine Ave, San Diego",178.29,28.55,42.53,134,2025-11-14T20:14:35.905721,2025-12-02T15:14:35.905721,2,13,24.69,Clear,Charged at station
trip_0008,user_009,car_009,33.742151,-84.432595,35.179711,-80.860164,"435 Oak St, Atlanta","925 Pine Ave, Charlotte",364.94,59.49,80.61,274,2025-11-10T20:14:35.905721,2025-11-15T18:14:35.905721,0,25,42.9,Windy,Traffic delays
trip_0009,user_010,car_010,47.63234,-122.374657,45.474949,-122.681405,"891 Oak St, Seattle","184 Maple Ave, Portland",276.65,57.74,66.01,207,2025-11-30T20:14:35.905721,2025-11-14T15:14:35.905721,0,60,20.63,Clear,Smooth trip
trip_0010,user_011,car_011,40.752346,-74.021373,42.364892,-71.038979,"999 Main St, New York","570 Maple Ave, Boston",325.68,54.53,71.3,244,2025-11-12T20:14:35.905721,2025-11-28T15:14:35.905721,1,5,27.42,Windy,Smooth trip
trip_0011,user_012,car_012,40.674102,-74.027875,42.354452,-71.024873,"271 Oak St, New York","357 Pine Ave, Boston",327.35,56.97,78.46,246,2025-12-04T20:14:35.905721,2025-11-22T15:14:35.905721,2,7,22.17,Cloudy,
trip_0012,user_013,car_013,33.708921,-84.392635,35.245405,-80.848665,"933 Oak St, Atlanta","411 Maple Ave, Charlotte",406.07,77.93,96.63,305,2025-11-29T20:14:35.905721,2025-12-05T15:14:35.905721,2,3,40.87,Windy,Traffic delays
trip_0013,user_014,car_014,32.799342,-96.82418,32.741816,-97.316864,"291 Oak St, Dallas","197 Pine Ave, Fort Worth",54.18,8.15,7.82,41,2025-11-10T20:14:35.905721,2025-11-07T18:14:35.905721,0,52,8.03,Clear,Traffic delays
trip_0014,user_015,car_015,29.737988,-95.41414,30.28448,-97.730513,"752 Main St, Houston","376 Maple Ave, Austin",252.61,48.07,44.23,189,2025-11-19T20:14:35.905721,2025-11-27T19:14:35.905721,0,5,23.47,Clear,Traffic delays
trip_0015,user_016,car_016,34.029458,-118.288303,32.678605,-117.165809,"880 Oak St, Los Angeles","815 Pine Ave, San Diego",173.27,34.39,27.92,130,2025-11-19T20:14:35.905721,2025-11-21T15:14:35.905721,2,30,22.11,Windy,Smooth trip
trip_0016,user_017,car_017,29.742263,-95.397149,30.296265,-97.787172,"136 Oak St, Houston","413 Maple Ave, Austin",267.42,47.55,60.41,201,2025-11-29T20:14:35.905721,2025-12-02T19:14:35.905721,0,1,17.55,Clear,
trip_0017,user_018,car_018,37.771832,-122.444043,37.381054,-121.84723,"677 Main St, San Francisco","963 Maple Ave, San Jose",74.82,18.67,17.45,56,2025-11-23T20:14:35.906313,2025-12-04T18:14:35.906313,0,20,10.9,Rainy,Traffic delays
trip_0018,user_019,car_019,33.760389,-84.436032,35.21903,-80.853719,"687 Oak St, Atlanta","255 Pine Ave, Charlotte",366.58,60.92,91.33,275,2025-11-19T20:14:35.906313,2025-11-08T16:14:35.906313,2,22,22.1,Clear,Charged at station
trip_0019,user_020,car_020,41.846372,-87.588901,39.777264,-86.133101,"807 Main St, Chicago","494 Maple Ave, Indianapolis",276.04,55.57,65.62,207,2025-11-16T20:14:35.906313,2025-11-13T19:14:35.906313,2,58,32.31,Rainy,Traffic delays
trip_0020,user_021,car_021,40.690421,-73.968003,42.331818,-71.104017,"161 Main St, New York","814 Maple Ave, Boston",370.43,82.37,65.82,278,2025-12-04T20:14:35.906313,2025-11-08T17:14:35.906313,0,32,40.42,Rainy,Charged at station
trip_0021,user_022,car_022,39.738642,-104.990622,38.818359,-104.847925,"837 Oak St, Denver","204 Maple Ave, Colorado Springs",110.9,25.14,27.08,83,2025-11-15T20:14:35.906313,2025-11-25T15:14:35.906313,2,40,13.43,Windy,Traffic delays
trip_0022,user_023,car_023,47.581718,-122.302657,45.510893,-122.68719,"687 Main St, Seattle","537 Pine Ave, Portland",279.3,44.8,56.5,209,2025-11-30T20:14:35.906313,2025-11-12T17:14:35.906313,0,37,36.14,Rainy,
trip_0023,user_024,car_024,41.871733,-87.589761,39.719975,-86.169061,"168 Oak St, Chicago","392 Maple Ave, Indianapolis",272.92,56.76,43.3,205,2025-11-16T20:14:35.906313,2025-11-14T16:14:35.906313,2,32,33.45,Clear,Smooth trip
trip_0024,user_025,car_025,33.722435,-84.418659,35.215518,-80.801712,"822 Main St, Atlanta","164 Maple Ave, Charlotte",388.41,88.11,57.51,291,2025-11-25T20:14:35.906313,2025-11-19T17:14:35.906313,2,55,23.85,Windy,Traffic delays
trip_0025,user_026,car_026,47.636233,-122.292321,45.479529,-122.648764,"298 Main St, Seattle","614 Pine Ave, Portland",271.46,41.47,45.11,204,2025-12-02T20:14:35.906313,2025-12-02T15:14:35.906313,0,33,14.8,Cloudy,Traffic delays
trip_0026,user_027,car_027,40.728269,-74.018879,42.344386,-71.091885,"573 Main St, New York","946 Pine Ave, Boston",343.78,82.21,77.16,258,2025-11-17T20:14:35.906313,2025-11-13T16:14:35.906313,1,53,36.18,Windy,Smooth trip
trip_0027,user_028,car_028,34.017273,-118.273733,32.713183,-117.122427,"836 Main St, Los Angeles","660 Maple Ave, San Diego",207.7,32.21,37.12,156,2025-11-25T20:14:35.906313,2025-11-17T19:14:35.906313,0,4,30.88,Clear,Traffic delays
trip_0028,user_029,car_029,37.726043,-122.397187,37.330121,-121.874558,"398 Main St, San Francisco","161 Maple Ave, San Jose",73.71,17.75,11.07,55,2025-12-02T20:14:35.906313,2025-11-17T19:14:35.906313,0,33,7.93,Cloudy,Traffic delays
trip_0029,user_030,car_030,41.840121,-87.618305,39.756572,-86.145499,"242 Oak St, Chicago","296 Pine Ave, Indianapolis",274.36,66.17,70.76,206,2025-12-05T20:14:35.906313,2025-11-08T17:14:35.906313,0,42,15.42,Cloudy,
trip_0030,user_031,car_031,37.729951,-122.453091,37.354859,-121.867134,"111 Oak St, San Francisco","156 Pine Ave, San Jose",65.51,14.93,14.69,49,2025-12-04T20:14:35.906313,2025-11-07T18:14:35.906313,0,37,5.56,Clear,Charged at station
trip_0031,user_032,car_032,41.837264,-87.586886,39.760941,-86.157732,"113 Main St, Chicago","473 Pine Ave, Indianapolis",294.08,51.69,73.84,221,2025-11-15T20:14:35.906313,2025-11-23T19:14:35.906313,2,3,36.01,Windy,Charged at station
trip_0032,user_033,car_033,39.987168,-75.126434,38.947729,-76.992155,"591 Oak St, Philadelphia","240 Pine Ave, Washington DC",212.33,32.75,50.59,159,2025-11-21T20:14:35.906313,2025-11-30T16:14:35.906313,1,25,15.99,Windy,Smooth trip
trip_0033,user_034,car_034,39.733828,-104.951796,38.831122,-104.830126,"163 Oak St, Denver","691 Pine Ave, Colorado Springs",120.44,18.57,22.08,90,2025-12-03T20:14:35.906313,2025-11-18T18:14:35.906313,0,34,12.58,Clear,Traffic delays
trip_0034,user_035,car_035,32.729819,-96.763905,32.766429,-97.332422,"903 Main St, Dallas","848 Maple Ave, Fort Worth",53.84,9.24,13.21,40,2025-11-15T20:14:35.906313,2025-11-28T17:14:35.906313,2,45,3.16,Clear,
trip_0035,user_036,car_036,33.775106,-84.416928,35.196544,-80.876534,"950 Oak St, Atlanta","639 Maple Ave, Charlotte",354.62,78.86,50.93,266,2025-11-28T20:14:35.906313,2025-11-21T17:14:35.906313,1,18,18.02,Windy,
trip_0036,user_037,car_037,39.906209,-75.143566,38.908934,-77.083487,"423 Main St, Philadelphia","249 Maple Ave, Washington DC",200.11,37.05,44.23,150,2025-11-28T20:14:35.906313,2025-11-11T15:14:35.906313,0,60,14.28,Cloudy,
trip_0037,user_038,car_038,33.725033,-84.39365,35.233744,-80.886593,"414 Oak St, Atlanta","775 Pine Ave, Charlotte",342.89,51.7,85.07,257,2025-11-08T20:14:35.906313,2025-11-11T16:14:35.906313,1,54,25.98,Cloudy,Traffic delays
trip_0038,user_039,car_039,33.69989,-84.371699,35.262641,-80.858088,"159 Main St, Atlanta","958 Pine Ave, Charlotte",388.55,82.91,83.08,291,2025-11-22T20:14:35.906313,2025-11-30T17:14:35.906313,0,38,31.27,Windy,Traffic delays
trip_0039,user_040,car_040,33.769222,-84.361827,35.223454,-80.800934,"914 Oak St, Atlanta","666 Maple Ave, Charlotte",383.78,72.67,95.52,288,2025-11-21T20:14:35.906313,2025-11-22T18:14:35.906313,2,58,39.53,Windy,Charged at station
